Location Id,Location,Deployment Id,Deployment,Product Id,Product,Total Pulls,Total Products Restocked,Total Restock Incidents,Total OOS Incidents,Avg Daily Pulls,Restocking Frequency (per day),OOS Frequency (per day),Avg OOS Duration (hours),OOS-to-Restock Ratio,Velocity-to-Restock Ratio,OOS Duration per Fill,Pulls per Fill
2680,Store A,1,Shelf 1,1257,Product 16,567.0,524.0,217,29.0,3.7302631578947367,1.4276315789473684,0.1907894736842105,4.336859070881226,0.13363439472835353,2.5947281713344315,0.5795535369593824,2.6127828210681536
2680,Store A,1,Shelf 1,1258,Product 14,574.0,566.0,199,34.0,3.776315789473684,1.3092105263157894,0.2236842105263158,2.7764420016339866,0.1708456861464248,2.862557350887692,0.47434313881491164,2.884277172001407
2680,Store A,1,Shelf 1,1261,Product 22,382.0,420.0,172,21.0,2.513157894736842,1.131578947368421,0.1381578947368421,6.933850026455026,0.12208592523690484,2.2014753342554174,0.846525495933699,2.2208011162141736
2680,Store A,1,Shelf 1,1263,Product 13,511.0,521.0,240,12.0,3.361842105263158,1.5789473684210529,0.0789473684210526,10.910958217592594,0.04999791675346861,2.1157668102020533,0.5455251806637688,2.129077955085205
2680,Store A,1,Shelf 1,1264,Product 23,226.0,222.0,121,0.0,1.486842105263158,0.7960526315789473,0.0,0.0,0.0,1.8445968005223639,,1.8676142467564663
2680,Store A,1,Shelf 1,1265,Product 21,370.0,381.0,135,19.0,2.4342105263157894,0.8881578947368421,0.125,8.981066359649123,0.1407303162728687,2.710225607969528,1.2639083092610426,2.7405377379453375
2680,Store A,1,Shelf 1,1268,Product 10,442.0,438.0,224,70.0,2.9078947368421053,1.4736842105263157,0.4605263157894737,5.497799718253968,0.3124860497299228,1.9599148634267471,1.7179857161634648,1.9731261997232268
2680,Store A,1,Shelf 1,1269,Product 20,325.0,302.0,148,56.0,2.138157894736842,0.9736842105263158,0.3684210526315789,10.96616128968254,0.3783528139990541,2.1736222578919207,4.149077982718886,2.1957975812445105
2680,Store A,1,Shelf 1,1270,Product 9,461.0,480.0,236,37.0,3.0328947368421053,1.5526315789473684,0.2434210526315789,9.919530615615615,0.15677301809245373,1.940889188278882,1.5551147526705555,1.9533070632600313
2680,Store A,1,Shelf 1,1287,Product 4,1063.0,1110.0,481,62.0,6.993421052631579,3.164473684210526,0.4078947368421052,4.408964005376344,0.12889544915906115,2.2030174915029432,0.5682953957991171,2.2099332654206774
2680,Store A,1,Shelf 1,1288,Product 5,635.0,679.0,340,24.0,4.177631578947368,2.236842105263158,0.1578947368421052,7.392626793981481,0.07058615923061087,1.8593347388147108,0.5218171320124572,1.8675921296432458
